model,MAE,RMSE,R2
sans_meteo,226.66664489226764,324.58522566102994,0.9031890969882168
meteo_prevue,177.4068983366487,247.51491091640688,0.9437050407179481
oracle,178.30226313225086,249.25493772153226,0.9429107528256548
