modele,MAE,RMSE,R2
sans_meteo,205.64241070982553,290.4329530584521,0.9134941751186132
avec_meteo,208.74250973038818,294.48431926509505,0.9110639331438583
sans_meteo_standardise,205.77686797035315,290.55395432817653,0.913422079338813
avec_meteo_standardise,209.24425846946966,295.01976095176764,0.9107402257898803
