year,model,MAE,RMSE,R2
2024,baseline,277.43989522236774,383.57072504352453,0.8491155523751952
2024,sans_meteo,205.64241070982553,290.4329530584521,0.9134941751186132
2024,meteo_parfaite,159.93963167516836,218.52217124161595,0.9510283671972164
2025,baseline,258.9252469876078,357.85723842783636,0.8823244091423796
2025,sans_meteo,207.44797633396018,285.91710479827475,0.924881475244212
2025,meteo_parfaite,161.78931590367438,217.47869117628233,0.9565389517868956
